iter	Passed	Remaining
791	1600	420
792	1602	418
793	1604	416
794	1606	414
795	1608	412
796	1609	410
797	1611	407
798	1613	405
799	1615	403
800	1617	401
801	1619	399
802	1621	397
803	1623	395
804	1625	393
805	1627	391
806	1629	389
807	1630	387
808	1633	385
809	1635	383
810	1636	381
811	1638	379
812	1640	377
813	1642	375
814	1644	373
815	1646	371
816	1648	369
817	1650	367
818	1652	365
819	1654	363
820	1656	361
821	1658	359
822	1660	357
823	1662	355
824	1664	353
825	1666	350
826	1667	348
827	1669	346
828	1671	344
829	1673	342
830	1675	340
831	1677	338
832	1679	336
833	1681	334
834	1683	332
835	1685	330
836	1686	328
837	1688	326
838	1690	324
839	1692	322
840	1694	320
841	1696	318
842	1698	316
843	1700	314
844	1702	312
845	1704	310
846	1705	308
847	1708	306
848	1710	304
849	1711	302
850	1713	300
851	1715	297
852	1717	295
853	1718	293
854	1720	291
855	1722	289
856	1724	287
857	1726	285
858	1728	283
859	1730	281
860	1732	279
861	1734	277
862	1735	275
863	1737	273
864	1740	271
865	1741	269
866	1743	267
867	1745	265
868	1747	263
869	1749	261
870	1751	259
871	1752	257
872	1754	255
873	1756	253
874	1758	251
875	1760	249
876	1762	247
877	1763	245
878	1765	243
879	1767	241
880	1769	238
881	1770	236
882	1772	234
883	1774	232
884	1777	230
885	1778	228
886	1780	226
887	1782	224
888	1784	222
889	1786	220
890	1788	218
891	1790	216
892	1792	214
893	1793	212
894	1795	210
895	1797	208
896	1799	206
897	1801	204
898	1802	202
899	1804	200
900	1806	198
901	1808	196
902	1810	194
903	1812	192
904	1814	190
905	1816	188
906	1817	186
907	1819	184
908	1821	182
909	1823	180
910	1825	178
911	1827	176
912	1829	174
913	1831	172
914	1833	170
915	1835	168
916	1837	166
917	1839	164
918	1841	162
919	1843	160
920	1845	158
921	1847	156
922	1848	154
923	1850	152
924	1852	150
925	1854	148
926	1856	146
927	1859	144
928	1860	142
929	1862	140
930	1864	138
931	1866	136
932	1868	134
933	1870	132
934	1872	130
935	1874	128
936	1876	126
937	1878	124
938	1880	122
939	1882	120
940	1884	118
941	1886	116
942	1888	114
943	1890	112
944	1892	110
945	1894	108
946	1895	106
947	1897	104
948	1899	102
949	1901	100
950	1903	98
951	1905	96
952	1907	94
953	1908	92
954	1910	90
955	1912	88
956	1914	86
957	1916	84
958	1918	82
959	1919	79
960	1921	77
961	1923	75
962	1925	73
963	1927	71
964	1929	69
965	1931	67
966	1933	65
967	1935	63
968	1937	61
969	1938	59
970	1940	57
971	1942	55
972	1944	53
973	1946	51
974	1948	49
975	1950	47
976	1952	45
977	1954	43
978	1956	41
979	1958	39
980	1960	37
981	1962	35
982	1964	33
983	1965	31
984	1967	29
985	1969	27
986	1971	25
987	1973	23
988	1975	21
989	1977	19
990	1979	17
991	1981	15
992	1982	13
993	1984	11
994	1986	9
995	1988	7
996	1990	5
997	1992	3
998	1994	1
999	1995	0
